#Note:G; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
1004 3.49985119e-1 9.00624369e-1
1006 3.74035362e-1 9.43415508e-1
1008 4.01518090e-1 9.87471784e-1
1010 4.33061581e-1 1.03264569e+0
1012 4.69412242e-1 1.07866728e+0
1014 5.11445008e-1 1.12508524e+0
1016 5.60162001e-1 1.17118406e+0
1018 6.16665991e-1 1.21587080e+0
1020 6.82085702e-1 1.25752808e+0
1022 7.57416509e-1 1.29383982e+0
1024 8.43225653e-1 1.32162057e+0
1026 9.39166590e-1 1.33672740e+0
1028 1.04328024e+0 1.33420996e+0
1030 1.15117931e+0 1.30893435e+0
1032 1.25545415e+0 1.25690639e+0
1034 1.34593127e+0 1.17724588e+0
1036 1.41143491e+0 1.07412602e+0
1038 1.44299558e+0 9.57347352e-1
1040 1.43713746e+0 8.40463397e-1
1042 1.39720763e+0 7.36942821e-1
1044 1.33184298e+0 6.56463928e-1
1046 1.25171126e+0 6.03280623e-1
1048 1.16651372e+0 5.76893175e-1
1050 1.08340849e+0 5.73889461e-1
1052 1.00679841e+0 5.89748788e-1
1054 9.38862993e-1 6.20039314e-1
1056 8.80278979e-1 6.60993300e-1
1058 8.30840526e-1 7.09664413e-1
1060 7.89897280e-1 7.63871500e-1
1062 7.56627861e-1 8.22063275e-1
1064 7.30194594e-1 8.83173549e-1
1066 7.09822322e-1 9.46495607e-1
1068 6.94832525e-1 1.01158318e+0
1070 6.84652997e-1 1.07817638e+0
1072 6.78815212e-1 1.14614807e+0
1074 6.76946335e-1 1.21546570e+0
1076 6.78759611e-1 1.28616468e+0
1078 6.84045064e-1 1.35832983e+0
1080 6.92661403e-1 1.43208277e+0
1082 7.04529505e-1 1.50757336e+0
1084 7.19627564e-1 1.58497405e+0
1086 7.37987882e-1 1.66447619e+0
1088 7.59695258e-1 1.74628788e+0
1090 7.84886905e-1 1.83063256e+0
1092 8.13753896e-1 1.91774848e+0
1094 8.46544161e-1 2.00788827e+0
1096 8.83567108e-1 2.10131889e+0
1098 9.25200028e-1 2.19832132e+0
1100 9.71896474e-1 2.29919005e+0
1102 1.02419692e+0 2.40423190e+0
1104 1.08274205e+0 2.51376399e+0
1106 1.14828919e+0 2.62811017e+0
1108 1.22173241e+0 2.74759543e+0
1110 1.30412708e+0 2.87253726e+0
1112 1.39671961e+0 3.00323269e+0
1114 1.50098340e+0 3.13993922e+0
1116 1.61866202e+0 3.28284705e+0
1118 1.75182055e+0 3.43203902e+0
1120 1.90290580e+0 3.58743317e+0
1122 2.07481556e+0 3.74870085e+0
1124 2.27097551e+0 3.91515051e+0
1126 2.49541971e+0 4.08556373e+0
1128 2.75286562e+0 4.25796538e+0
1130 3.04876566e+0 4.42930477e+0
1132 3.38930257e+0 4.59501965e+0
1134 3.78127095e+0 4.74845400e+0
1136 4.23175016e+0 4.88010869e+0
1138 4.74742015e+0 4.97673573e+0
1140 5.33330764e+0 5.02036361e+0
1142 5.99069964e+0 4.98749757e+0
1144 6.71399290e+0 4.84900803e+0
1146 7.48650049e+0 4.57159192e+0
1148 8.27590952e+0 4.12200557e+0
1150 9.03128054e+0 3.47507167e+0
1152 9.68479147e+0 2.62503668e+0
1154 1.01614666e+1 1.59686146e+0
1156 1.03970188e+1 4.50907101e-1
1158 1.03578491e+1 -7.25100352e-1
1160 1.00528574e+1 -1.83646165e+0
1162 9.52986098e+0 -2.80521595e+0
1164 8.85899176e+0 -3.58560596e+0
1166 8.11276409e+0 -4.16602920e+0
1168 7.35168815e+0 -4.56073146e+0
1170 6.61838637e+0 -4.79812607e+0
1172 5.93826051e+0 -4.91093140e+0
1174 5.32330075e+0 -4.92999853e+0
1176 4.77644951e+0 -4.88144725e+0
1178 4.29525076e+0 -4.78596639e+0
1180 3.87445038e+0 -4.65923294e+0
1182 3.50766143e+0 -4.51276032e+0
1184 3.18833954e+0 -4.35480501e+0
1186 2.91030175e+0 -4.19116892e+0
1188 2.66796463e+0 -4.02584844e+0
1190 2.45642098e+0 -3.86153341e+0
1192 2.27142962e+0 -3.69997924e+0
1194 2.10936313e+0 -3.54227916e+0
1196 1.96713900e+0 -3.38906096e+0
1198 1.84214792e+0 -3.24062794e+0
1200 1.73218618e+0 -3.09705939e+0
1202 1.63539509e+0 -2.95828188e+0
1204 1.55020856e+0 -2.82411961e+0
1206 1.47530844e+0 -2.69432979e+0
1208 1.40958713e+0 -2.56862740e+0
1210 1.35211658e+0 -2.44670235e+0
1212 1.30212269e+0 -2.32823121e+0
1214 1.25896457e+0 -2.21288517e+0
1216 1.22211773e+0 -2.10033524e+0
1218 1.19116081e+0 -1.99025562e+0
1220 1.16576525e+0 -1.88232576e+0
1222 1.14568766e+0 -1.77623161e+0
1224 1.13076451e+0 -1.67166637e+0
1226 1.12090906e+0 -1.56833111e+0
1228 1.11611038e+0 -1.46593537e+0
1230 1.11643444e+0 -1.36419827e+0
1232 1.12202734e+0 -1.26285010e+0
1234 1.13312080e+0 -1.16163514e+0
1236 1.15004007e+0 -1.06031585e+0
1238 1.17321458e+0 -9.58679349e-1
1240 1.20319151e+0 -8.56546940e-1
1242 1.24065271e+0 -7.53787961e-1
1244 1.28643515e+0 -6.50339719e-1
1246 1.34155497e+0 -5.46235878e-1
1248 1.40723485e+0 -4.41646639e-1
1250 1.48493351e+0 -3.36935239e-1
1252 1.57637481e+0 -2.32736907e-1
1254 1.68357119e+0 -1.30068236e-1
1256 1.80883176e+0 -3.04769275e-2
1258 1.95473801e+0 6.37568263e-2
1260 2.12405840e+0 1.49356977e-1
1262 2.31955602e+0 2.21722450e-1
1264 2.54362007e+0 2.74546901e-1
1266 2.79762794e+0 2.99443190e-1
1268 3.08093245e+0 2.85705912e-1
1270 3.38940641e+0 2.20469038e-1
1272 3.71362691e+0 8.96669638e-2
1274 4.03712228e+0 -1.19709779e-1
1276 4.33563399e+0 -4.15779183e-1
1278 4.57879478e+0 -7.96846599e-1
1280 4.73532644e+0 -1.24722963e+0
1282 4.78116277e+0 -1.73669360e+0
1284 4.70733508e+0 -2.22552209e+0
1286 4.52330672e+0 -2.67404557e+0
1288 4.25365447e+0 -3.05220377e+0
1290 3.93012974e+0 -3.34466771e+0
1292 3.58343465e+0 -3.55026438e+0
1294 3.23795236e+0 -3.67771595e+0
1296 2.91006816e+0 -3.74061100e+0
1298 2.60896261e+0 -3.75349236e+0
1300 2.33843668e+0 -3.72957247e+0
1302 2.09878816e+0 -3.67978015e+0
1304 1.88830617e+0 -3.61262892e+0
1306 1.70430313e+0 -3.53448414e+0
1308 1.54375827e+0 -3.44996444e+0
1310 1.40368370e+0 -3.36234175e+0
1312 1.28131085e+0 -3.27388414e+0
1314 1.17416874e+0 -3.18612823e+0
1316 1.08010144e+0 -3.10008605e+0
1318 9.97253736e-1 -3.01639804e+0
1320 9.24042389e-1 -2.93544416e+0
1322 8.59122525e-1 -2.85742375e+0
1324 8.01354198e-1 -2.78241239e+0
1326 7.49771605e-1 -2.71040222e+0
1328 7.03555875e-1 -2.64133038e+0
1330 6.62011625e-1 -2.57509898e+0
1332 6.24547073e-1 -2.51158898e+0
1334 5.90657323e-1 -2.45066991e+0
1336 5.59910399e-1 -2.39220645e+0
1338 5.31935620e-1 -2.33606294e+0
