#Note:E; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
782 2.61169512e-1 9.46688594e-1
784 2.70889441e-1 9.96016346e-1
786 2.81323061e-1 1.04708799e+0
788 2.92537729e-1 1.10002284e+0
790 3.04608928e-1 1.15495062e+0
792 3.17621468e-1 1.21201266e+0
794 3.31670880e-1 1.27136318e+0
796 3.46865068e-1 1.33317070e+0
798 3.63326254e-1 1.39761973e+0
800 3.81193293e-1 1.46491264e+0
802 4.00624422e-1 1.53527172e+0
804 4.21800557e-1 1.60894165e+0
806 4.44929247e-1 1.68619213e+0
808 4.70249445e-1 1.76732106e+0
810 4.98037295e-1 1.85265793e+0
812 5.28613173e-1 1.94256786e+0
814 5.62350310e-1 2.03745600e+0
816 5.99685400e-1 2.13777255e+0
818 6.41131717e-1 2.24401836e+0
820 6.87295440e-1 2.35675105e+0
822 7.38896063e-1 2.47659176e+0
824 7.96792088e-1 2.60423217e+0
826 8.62013545e-1 2.74044179e+0
828 9.35803418e-1 2.88607468e+0
830 1.01967073e+0 3.04207503e+0
832 1.11545896e+0 3.20947974e+0
834 1.22543479e+0 3.38941559e+0
836 1.35240369e+0 3.58308652e+0
838 1.49986122e+0 3.79174388e+0
840 1.67219146e+0 4.01662774e+0
842 1.87492741e+0 4.25885953e+0
844 2.11509105e+0 4.51925358e+0
846 2.40163252e+0 4.79799377e+0
848 2.74598355e+0 5.09408658e+0
850 3.16272121e+0 5.40444625e+0
852 3.67028264e+0 5.72238088e+0
854 4.29153495e+0 6.03512742e+0
856 5.05369767e+0 6.31994851e+0
858 5.98648361e+0 6.53827244e+0
860 7.11617901e+0 6.62780191e+0
862 8.45179582e+0 6.49437621e+0
864 9.95879317e+0 6.01028056e+0
866 1.15211325e+1 5.03428516e+0
868 1.29121114e+1 3.47325830e+0
870 1.38244644e+1 1.38054106e+0
872 1.39996244e+1 -9.82430362e-1
874 1.33882178e+1 -3.22477322e+0
876 1.21836901e+1 -5.01915327e+0
878 1.06913819e+1 -6.23513223e+0
