#Note:A; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
796 6.45625013e-1 -3.99709262e+0
798 6.19495007e-1 -3.91021089e+0
800 5.95069825e-1 -3.82684651e+0
802 5.72204041e-1 -3.74678048e+0
804 5.50767407e-1 -3.66981111e+0
806 5.30642996e-1 -3.59575237e+0
808 5.11725610e-1 -3.52443244e+0
810 4.93920395e-1 -3.45569243e+0
812 4.77141656e-1 -3.38938518e+0
814 4.61311812e-1 -3.32537425e+0
816 4.46360498e-1 -3.26353297e+0
818 4.32223775e-1 -3.20374358e+0
820 4.18843442e-1 -3.14589650e+0
822 4.06166427e-1 -3.08988963e+0
824 3.94144259e-1 -3.03562771e+0
826 3.82732597e-1 -2.98302180e+0
828 3.71890815e-1 -2.93198875e+0
830 3.61581638e-1 -2.88245076e+0
832 3.51770813e-1 -2.83433491e+0
834 3.42426823e-1 -2.78757286e+0
836 3.33520629e-1 -2.74210043e+0
838 3.25025440e-1 -2.69785734e+0
840 3.16916508e-1 -2.65478688e+0
842 3.09170945e-1 -2.61283569e+0
844 3.01767556e-1 -2.57195348e+0
846 2.94686697e-1 -2.53209284e+0
848 2.87910134e-1 -2.49320901e+0
850 2.81420929e-1 -2.45525972e+0
852 2.75203331e-1 -2.41820502e+0
854 2.69242675e-1 -2.38200709e+0
856 2.63525298e-1 -2.34663013e+0
858 2.58038458e-1 -2.31204023e+0
860 2.52770256e-1 -2.27820521e+0
862 2.47709579e-1 -2.24509455e+0
864 2.42846033e-1 -2.21267924e+0
866 2.38169890e-1 -2.18093174e+0
868 2.33672041e-1 -2.14982582e+0
870 2.29343946e-1 -2.11933654e+0
872 2.25177595e-1 -2.08944015e+0
874 2.21165471e-1 -2.06011400e+0
876 2.17300513e-1 -2.03133649e+0
878 2.13576085e-1 -2.00308700e+0
880 2.09985948e-1 -1.97534585e+0
882 2.06524230e-1 -1.94809423e+0
884 2.03185406e-1 -1.92131413e+0
886 1.99964269e-1 -1.89498835e+0
888 1.96855917e-1 -1.86910040e+0
890 1.93855727e-1 -1.84363446e+0
892 1.90959340e-1 -1.81857540e+0
894 1.88162648e-1 -1.79390868e+0
896 1.85461773e-1 -1.76962033e+0
898 1.82853058e-1 -1.74569694e+0
900 1.80333050e-1 -1.72212561e+0
902 1.77898495e-1 -1.69889394e+0
